species,genus,family,order,year,month,day,decimalLatitude,decimalLongitude,locality,individualCount,basisOfRecord,datasetName,institutionCode
Passer montanus,Passer,Passeridae,Passeriformes,2025,11,14,22.468405,114.004931,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca penelope,Mareca,Anatidae,Anseriformes,2025,11,15,22.50809,114.112648,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2025,11,15,22.504359,114.119052,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Orthotomus sutorius,Orthotomus,Cisticolidae,Passeriformes,2025,11,14,22.511433,114.038639,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2025,11,18,22.509681,114.113324,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2025,11,15,22.781319,113.953003,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea purpurea,Ardea,Ardeidae,Pelecaniformes,2025,11,15,22.485581,114.035639,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2025,11,15,22.533775,114.167745,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Coracina melaschistos,Coracina,Campephagidae,Passeriformes,2025,11,15,22.522593,113.982448,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2025,11,8,22.508965,114.113071,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Emberiza aureola,Emberiza,Emberizidae,Passeriformes,2025,11,9,22.509409,114.113382,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2025,11,13,22.470058,114.006583,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2025,11,15,22.506895,114.073495,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2025,11,15,22.504638,114.118769,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2025,11,18,22.50866,114.112358,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Corvus torquatus,Corvus,Corvidae,Passeriformes,2025,11,8,22.510635,114.111222,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2025,11,9,22.50992,114.113075,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus sinensis,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,15,22.673041,113.848543,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Buteo japonicus,Buteo,Accipitridae,Accipitriformes,2025,11,15,22.504737,114.118587,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2025,11,8,22.509555,114.11356,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2025,11,19,22.508586,114.114515,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2025,11,18,22.509246,114.114518,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Falco amurensis,Falco,Falconidae,Falconiformes,2025,11,8,22.595448,113.858786,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Prinia inornata,Prinia,Cisticolidae,Passeriformes,2025,11,7,22.50912,114.112836,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Coracina melaschistos,Coracina,Campephagidae,Passeriformes,2025,11,15,22.672879,113.848504,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Acrocephalus orientalis,Acrocephalus,Acrocephalidae,Passeriformes,2025,11,14,22.506119,114.118519,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus aurigaster,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,14,22.46814,114.003637,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phalacrocorax carbo,Phalacrocorax,Phalacrocoracidae,Suliformes,2025,11,17,22.489903,114.043006,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,2025,11,18,22.510407,114.114641,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tarsiger cyanurus,Tarsiger,Muscicapidae,Passeriformes,2025,11,19,22.592562,113.854295,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Eudynamys scolopaceus,Eudynamys,Cuculidae,Cuculiformes,2025,11,16,22.453245,114.010967,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,2025,11,19,22.507158,114.112182,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Psittacula eupatria,Psittacula,Psittacidae,Psittaciformes,2025,11,9,22.505438,114.112092,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pandion haliaetus,Pandion,Pandionidae,Accipitriformes,2025,11,15,22.487872,114.038681,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa ochropus,Tringa,Scolopacidae,Charadriiformes,2025,11,6,22.487822,114.101556,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Urocissa erythroryncha,Urocissa,Corvidae,Passeriformes,2025,11,14,22.495304,114.105221,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2025,11,14,22.471594,114.005533,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Platalea minor,Platalea,Threskiornithidae,Pelecaniformes,2025,11,15,22.543158,113.879039,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2025,11,17,22.506288,114.11815,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gallinula chloropus,Gallinula,Rallidae,Gruiformes,2025,11,15,22.779817,113.959953,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2025,11,9,22.50992,114.113075,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2025,11,15,22.486318,114.049876,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Falco tinnunculus,Falco,Falconidae,Falconiformes,2025,11,15,22.778052,113.963087,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Limosa limosa,Limosa,Scolopacidae,Charadriiformes,2025,11,15,22.521831,113.979922,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lanius schach,Lanius,Laniidae,Passeriformes,2025,11,14,22.506072,114.109686,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gracupica nigricollis,Gracupica,Sturnidae,Passeriformes,2025,11,14,22.450297,114.180458,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2025,11,9,22.505438,114.112092,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phylloscopus fuscatus,Phylloscopus,Phylloscopidae,Passeriformes,2025,11,9,22.505318,114.111977,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Acridotheres cristatellus,Acridotheres,Sturnidae,Passeriformes,2025,11,15,22.778428,113.961178,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Emberiza pusilla,Emberiza,Emberizidae,Passeriformes,2025,11,15,22.778159,113.961685,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus aurigaster,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,18,22.680278,114.20147,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2025,11,17,22.492913,114.044014,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Scolopax rusticola,Scolopax,Scolopacidae,Charadriiformes,2025,11,12,22.675252,113.846552,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2025,11,14,22.505215,114.110388,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pica serica,Pica,Corvidae,Passeriformes,2025,12,1,22.538563,113.934425,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2025,12,2,22.679813,114.201767,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax pectoralis,Garrulax,Leiothrichidae,Passeriformes,2025,12,1,22.564944,114.209329,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2025,12,1,22.510528,114.115989,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax pectoralis,Garrulax,Leiothrichidae,Passeriformes,2025,12,1,22.564944,114.209329,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax pectoralis,Garrulax,Leiothrichidae,Passeriformes,2025,12,1,22.564944,114.209329,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Rostratula benghalensis,Rostratula,Rostratulidae,Charadriiformes,2025,12,1,22.508815,114.112994,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Zosterops simplex,Zosterops,Zosteropidae,Passeriformes,2025,12,2,22.537338,114.141695,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2025,12,1,22.512753,114.11487,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Yuhina torqueola,Yuhina,Zosteropidae,Passeriformes,2025,12,1,22.584428,114.205864,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2025,12,5,22.680547,114.202562,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pandion haliaetus,Pandion,Pandionidae,Accipitriformes,2025,12,6,22.47097,114.042705,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2025,12,6,22.47097,114.042705,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax chinensis,Garrulax,Leiothrichidae,Passeriformes,2025,12,5,22.579643,114.040761,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2025,12,4,22.509022,114.115028,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2025,12,7,22.490637,114.098629,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
